"","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","infl","ltr","corpr","svar","D12.diff","E12.diff","b.m.diff","tbl.diff","AAA.diff","BAA.diff","lty.diff","ntis.diff","infl.diff","ltr.diff","corpr.diff","svar.diff","tbl.lagdiff","AAA.lagdiff","BAA.lagdiff","lty.lagdiff","ltr.lagdiff","corpr.lagdiff","EqPremResponse"
"279",14.899,38.73,0.2073427297,0.0491,0.0583105145,0.0652105145,0.0536105145,0.0241008722,0.0136894855,0.0493489382,0.0435711306,0.0030194243,0.234999999999999,2.73,-0.0199545884,-0.0018,-0.00135242690000011,-0.00135242690000011,0.000147573099999895,-0.0054546594,-0.0032475730999999,0.0328255838,0.0238337119,-0.0011434687,-0.0014,0.000505009300000192,0.0011050093000002,-0.000494990699999802,0.0597133504,0.0403780245,"0"
"280",15.059,40.24,0.2147802023,0.0514,0.0587533319999999,0.0650533319999999,0.0555533319999999,0.0211198386,0.0167466680000001,-0.0324173705,-0.0221076667,0.0048363311,0.16,1.51000000000001,0.00743747259999999,0.0023,0.000442817499999915,-0.000157182500000089,0.00194281749999992,-0.0029810336,0.00305718250000009,-0.0817663087,-0.0656787973,0.0018169068,-0.0018,0.00984760760000017,0.00994760760000017,0.0126476076000002,-0.1530395177,-0.1154163087,"1"
"281",15.161,40.55,0.184287615,0.0493,0.0592868232999998,0.0653868232999998,0.0539868232999998,0.0108474777,0.0148131767000002,0.0556385733,0.0507233642,0.00698692,0.102,0.309999999999995,-0.0304925873,-0.0021,0.00053349129999998,0.000333491299999975,-0.00156650870000002,-0.0102723609,-0.00193349129999998,0.0880559438,0.0728310309,0.0021505889,0.0013,0.00500531009999956,0.00510531009999957,0.00330531009999956,0.0673569244,0.0499101035,"1"
"282",15.333,40.64,0.177967857,0.0495,0.0554734298999998,0.0609734298999998,0.0488734298999998,0.0146506387,0.0160265701000002,0.0614293123,0.0507550413,0.0071014066,0.172000000000001,0.0900000000000034,-0.00631975799999998,0.000200000000000006,-0.00381339340000005,-0.00441339340000003,-0.00511339340000004,0.003803161,0.00121339340000004,0.005790739,3.16770999999952e-05,0.000114486600000001,0,0.00394936110000027,0.00394936110000027,0.00454936110000027,0.0184770157,0.0183121563,"0"
"283",15.497,39.72,0.1788008842,0.0516,0.0504416857,0.0560416857,0.0430416857,0.0155787276,0.0171583143,0.0687137261,0.0461720144,0.0142752187,0.164,-0.920000000000002,0.000833027200000003,0.0021,-0.00503174419999984,-0.00493174419999984,-0.00583174419999984,0.0009280889,0.00113174419999984,0.0072844138,-0.0045830269,0.0071738121,-0.0018,-0.00135242690000011,-0.00135242690000011,0.000147573099999895,0.0328255838,0.0238337119,"1"
"284",15.641,39.54,0.181140396,0.0503,0.0477011409,0.0537011409,0.0407011409,0.0165051128,0.0194988591,0.01518764,0.0168397736,0.0046590418,0.144,-0.18,0.0023395118,-0.0013,-0.00274054480000001,-0.00234054480000001,-0.00234054480000001,0.000926385199999999,0.00234054480000001,-0.0535260861,-0.0293322408,-0.0096161769,0.0023,0.000442817499999915,-0.000157182500000089,0.00194281749999992,-0.0817663087,-0.0656787973,"0"
"285",15.95,38.97,0.178060606,0.0498,0.0392534823000002,0.0452534823000002,0.0315534823000002,0.0240305882,0.0260465176999998,0.0441226389,0.0338425279,0.0046709124,0.308999999999999,-0.57,-0.00307979,-5e-04,-0.00844765859999973,-0.00844765859999973,-0.00914765859999973,0.0075254754,0.00654765859999973,0.0289349989,0.0170027543,1.18706e-05,-0.0021,0.00053349129999998,0.000333491299999975,-0.00156650870000002,0.0880559438,0.0728310309,"0"
"286",16.143,38.09,0.2032484042,0.0461,0.0374048526000003,0.0443048526000003,0.0251048526000003,0.0240925221,0.0265951473999997,0.083485403,0.0446843916,0.0215331107,0.193000000000001,-0.879999999999995,0.0251877982,-0.00369999999999999,-0.00184862969999991,-0.000948629699999912,-0.00644862969999991,6.19338999999983e-05,0.000548629699999914,0.0393627641,0.0108418637,0.0168621983,0.000200000000000006,-0.00381339340000005,-0.00441339340000003,-0.00511339340000004,0.005790739,3.16770999999952e-05,"1"
"287",16.195,37.71,0.1736113154,0.0439,0.0250851270999998,0.0351851270999999,0.0170851270999998,0.0200632552,0.0371148729000002,-0.0154720633,0.008494487,0.0103952366,0.0519999999999996,-0.380000000000003,-0.0296370888,-0.0022,-0.0123197255000005,-0.00911972550000047,-0.00801972550000047,-0.0040292669,0.0105197255000005,-0.0989574663,-0.0361899046,-0.0111378741,0.0021,-0.00503174419999984,-0.00493174419999984,-0.00583174419999984,0.0072844138,-0.0045830269,"1"
"288",16.449,38.38,0.1728971707,0.0444,0.0293485086000002,0.0384485086000002,0.0223485086000002,0.0206772204,0.0368514913999998,-0.0412967766,-0.0280988886,0.0100313057,0.254000000000001,0.670000000000002,-0.000714144700000002,5e-04,0.00426338150000038,0.00326338150000038,0.00526338150000039,0.0006139652,-0.000263381500000381,-0.0258247133,-0.0365933756,-0.0003639309,-0.0013,-0.00274054480000001,-0.00234054480000001,-0.00234054480000001,-0.0535260861,-0.0293322408,"1"
"289",16.448,41.02,0.1542274468,0.0457,0.0381365455999998,0.0460365455999998,0.0285365455999998,0.0188750654,0.0341634544000002,-0.024110627,-0.0356384358,0.0082215328,-0.00100000000000122,2.64,-0.0186697239,0.0013,0.00878803699999954,0.00758803699999952,0.00618803699999954,-0.001802155,-0.00268803699999953,0.0171861496,-0.0075395472,-0.0018097729,-5e-04,-0.00844765859999973,-0.00844765859999973,-0.00914765859999973,0.0289349989,0.0170027543,"0"
"290",16.641,43.96,0.1636844982,0.0468,0.0403918004,0.0484918004,0.0310918004,0.0204568067,0.0335081996,-0.0046680472,-0.0046996168,0.007046005,0.192999999999998,2.94,0.0094570514,0.0011,0.00225525480000027,0.00245525480000029,0.00255525480000028,0.0015817413,-0.000655254800000282,0.0194425798,0.030938819,-0.0011755278,-0.00369999999999999,-0.00184862969999991,-0.000948629699999912,-0.00644862969999991,0.0393627641,0.0108418637,"1"
"291",16.692,48.17,0.1471672594,0.052,0.0465792571,0.0529792571,0.0392792571,0.0179602357,0.0289207429,-0.0226796435,-0.0079346249,0.0073789637,0.0510000000000019,4.21,-0.0165172388,0.0052,0.00618745669999994,0.00448745669999993,0.00818745669999993,-0.002496571,-0.00458745669999994,-0.0180115963,-0.0032350081,0.0003329587,-0.0022,-0.0123197255000005,-0.00911972550000047,-0.00801972550000047,-0.0989574663,-0.0361899046,"0"
"292",16.762,50.95,0.1499735618,0.0569,0.0446729388999998,0.0515729388999998,0.0296729388999998,0.0183618948,0.0321270611000002,0.0883296505,0.0241003435,0.0148851161,0.0700000000000003,2.78,0.00280630239999999,0.0049,-0.00190631820000017,-0.00140631820000017,-0.00960631820000016,0.0004016591,0.00320631820000017,0.111009294,0.0320349684,0.0075061524,5e-04,0.00426338150000038,0.00326338150000038,0.00526338150000039,-0.0258247133,-0.0365933756,"0"
"293",16.704,51.92,0.1567779616,0.0569,0.0504281488000003,0.0585281488000002,0.0359281488000002,0.0072026759,0.0262718511999998,0.0111248414,0.0042914259,0.0154869621,-0.0579999999999998,0.969999999999999,0.0068043998,0,0.00575520990000045,0.00695520990000044,0.00625520990000043,-0.0111592189,-0.00585520990000044,-0.0772048091,-0.0198089176,0.000601846,0.0013,0.00878803699999954,0.00758803699999952,0.00618803699999954,0.0171861496,-0.0075395472,"0"
"294",16.347,53.7,0.1537894629,0.06,0.0606289043999996,0.0679289043999996,0.0456289043999996,0.0044836473,0.0155710956000004,0.0253602714,0.0363872016,0.0047047293,-0.356999999999999,1.78,-0.00298849869999998,0.0031,0.0102007555999994,0.00940075559999939,0.00970075559999939,-0.0027190286,-0.0107007555999994,0.01423543,0.0320957757,-0.0107822328,0.0011,0.00225525480000027,0.00245525480000029,0.00255525480000028,0.0194425798,0.030938819,"0"
"295",16.271,50,0.1518515036,0.0577,0.0572880325,0.0653880325,0.0409880325,-0.0022506275,0.0148119675,0.0767406057,0.0587531454,0.0141398687,-0.0760000000000005,-3.7,-0.00193795930000001,-0.0023,-0.00334087189999967,-0.00254087189999967,-0.00464087189999966,-0.0067342748,-0.000759128100000339,0.0513803343,0.0223659438,0.0094351394,0.0052,0.00618745669999994,0.00448745669999993,0.00818745669999993,-0.0180115963,-0.0032350081,"0"
"296",15.973,45.44,0.1331135514,0.0442,0.0590515712000001,0.0676515712000001,0.0451515712000001,-0.0052002182,0.0107484287999999,0.0120644393,0.0460136678,0.014609127,-0.298,-4.56,-0.0187379522,-0.0135,0.00176353870000009,0.0022635387000001,0.00416353870000009,-0.0029495907,-0.00406353870000009,-0.0646761664,-0.0127394776,0.000469258299999999,0.0049,-0.00190631820000017,-0.00140631820000017,-0.00960631820000016,0.111009294,0.0320349684,"1"
"297",15.686,36.79,0.1252094328,0.0349,0.0566224563999999,0.0645224563999999,0.0438224563999999,0.0050470935,0.0151775436000001,-0.0194513944,0.0057323107,0.011470826,-0.287000000000001,-8.65,-0.00790411860000001,-0.0093,-0.00242911480000019,-0.00312911480000019,-0.00132911480000019,0.0102473117,0.00442911480000019,-0.0315158337,-0.0402813571,-0.003138301,0,0.00575520990000045,0.00695520990000044,0.00625520990000043,-0.0772048091,-0.0198089176,"0"
"298",15.736,28.31,0.1486285882,0.0264,0.0481013027000003,0.0567013027000002,0.0306013027000002,0.0086679553,0.0235986972999997,0.0675522539,0.03626876,0.0122886671,0.0500000000000007,-8.48,0.0234191554,-0.0085,-0.00852115369999963,-0.00782115369999963,-0.0132211536999996,0.0036208618,0.00842115369999963,0.0870036483,0.0305364493,0.000817841099999999,0.0031,0.0102007555999994,0.00940075559999939,0.00970075559999939,0.01423543,0.0320957757,"1"
"299",15.74,24.69,0.1312178459,0.0169,0.0377437301,0.0505437301,0.0275437301,0.0134669755,0.0299562699,-0.0211326364,0.014861734,0.0072370634,0.00399999999999956,-3.62,-0.0174107423,-0.0095,-0.0103575726000003,-0.00615757260000024,-0.00305757260000025,0.0047990202,0.00635757260000025,-0.0886848903,-0.021407026,-0.0050516037,-0.0023,-0.00334087189999967,-0.00254087189999967,-0.00464087189999966,0.0513803343,0.0223659438,"0"
"300",15.73,24.7,0.2368334023,0.0179,0.0470102962,0.0600102962,0.0393102962,0.0137617687,0.0210897038,-0.0192512993,0.0003210388,0.0067665453,-0.00999999999999979,0.00999999999999801,0.1056155564,0.001,0.00926656610000003,0.00946656610000003,0.0117665661,0.000294793199999999,-0.00886656610000003,0.0018813371,-0.0145406952,-0.0004705181,-0.0135,0.00176353870000009,0.0022635387000001,0.00416353870000009,-0.0646761664,-0.0127394776,"0"
